div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
E0,14/08/93,Arsenal,Coventry,0,3,A,,,,1993-94
E0,14/08/93,Aston Villa,QPR,4,1,H,,,,1993-94
E0,14/08/93,Chelsea,Blackburn,1,2,A,,,,1993-94
E0,14/08/93,Liverpool,Sheffield Weds,2,0,H,,,,1993-94
E0,14/08/93,Man City,Leeds,1,1,D,,,,1993-94
E0,14/08/93,Newcastle,Tottenham,0,1,A,,,,1993-94
E0,14/08/93,Oldham,Ipswich,0,3,A,,,,1993-94
E0,14/08/93,Sheffield United,Swindon,3,1,H,,,,1993-94
E0,14/08/93,Southampton,Everton,0,2,A,,,,1993-94
E0,14/08/93,West Ham,Wimbledon,0,2,A,,,,1993-94
E0,15/08/93,Norwich,Man United,0,2,A,,,,1993-94
E0,16/08/93,Tottenham,Arsenal,0,1,A,,,,1993-94
E0,17/08/93,Everton,Man City,1,0,H,,,,1993-94
E0,17/08/93,Ipswich,Southampton,1,0,H,,,,1993-94
E0,17/08/93,Leeds,West Ham,1,0,H,,,,1993-94
E0,17/08/93,Wimbledon,Chelsea,1,1,D,,,,1993-94
E0,18/08/93,Blackburn,Norwich,2,3,A,,,,1993-94
E0,18/08/93,Coventry,Newcastle,2,1,H,,,,1993-94
E0,18/08/93,Man United,Sheffield United,3,0,H,,,,1993-94
E0,18/08/93,QPR,Liverpool,1,3,A,,,,1993-94
E0,18/08/93,Sheffield Weds,Aston Villa,0,0,D,,,,1993-94
E0,18/08/93,Swindon,Oldham,0,1,A,,,,1993-94
E0,21/08/93,Blackburn,Oldham,1,0,H,,,,1993-94
E0,21/08/93,Coventry,West Ham,1,1,D,,,,1993-94
E0,21/08/93,Everton,Sheffield United,4,2,H,,,,1993-94
E0,21/08/93,Ipswich,Chelsea,1,0,H,,,,1993-94
E0,21/08/93,Leeds,Norwich,0,4,A,,,,1993-94
E0,21/08/93,Man United,Newcastle,1,1,D,,,,1993-94
E0,21/08/93,QPR,Southampton,2,1,H,,,,1993-94
E0,21/08/93,Sheffield Weds,Arsenal,0,1,A,,,,1993-94
E0,21/08/93,Tottenham,Man City,1,0,H,,,,1993-94
E0,21/08/93,Wimbledon,Aston Villa,2,2,D,,,,1993-94
E0,22/08/93,Swindon,Liverpool,0,5,A,,,,1993-94
E0,23/08/93,Aston Villa,Man United,1,2,A,,,,1993-94
E0,24/08/93,Arsenal,Leeds,2,1,H,,,,1993-94
E0,24/08/93,Man City,Blackburn,0,2,A,,,,1993-94
E0,24/08/93,Oldham,Coventry,3,3,D,,,,1993-94
E0,24/08/93,Sheffield United,Wimbledon,2,1,H,,,,1993-94
E0,25/08/93,Chelsea,QPR,2,0,H,,,,1993-94
E0,25/08/93,Liverpool,Tottenham,1,2,A,,,,1993-94
E0,25/08/93,Newcastle,Everton,1,0,H,,,,1993-94
E0,25/08/93,Norwich,Ipswich,1,0,H,,,,1993-94
E0,25/08/93,Southampton,Swindon,5,1,H,,,,1993-94
E0,25/08/93,West Ham,Sheffield Weds,2,0,H,,,,1993-94
E0,27/08/93,Man City,Coventry,1,1,D,,,,1993-94
E0,28/08/93,Arsenal,Everton,2,0,H,,,,1993-94
E0,28/08/93,Aston Villa,Tottenham,1,0,H,,,,1993-94
E0,28/08/93,Chelsea,Sheffield Weds,1,1,D,,,,1993-94
E0,28/08/93,Liverpool,Leeds,2,0,H,,,,1993-94
E0,28/08/93,Norwich,Swindon,0,0,D,,,,1993-94
E0,28/08/93,Oldham,Wimbledon,1,1,D,,,,1993-94
E0,28/08/93,Sheffield United,Ipswich,1,1,D,,,,1993-94
E0,28/08/93,Southampton,Man United,1,3,A,,,,1993-94
E0,28/08/93,West Ham,QPR,0,4,A,,,,1993-94
E0,29/08/93,Newcastle,Blackburn,1,1,D,,,,1993-94
E0,30/08/93,Leeds,Oldham,1,0,H,,,,1993-94
E0,31/08/93,Everton,Aston Villa,0,1,A,,,,1993-94
E0,31/08/93,Ipswich,Newcastle,1,1,D,,,,1993-94
E0,31/08/93,Wimbledon,Southampton,1,0,H,,,,1993-94
E0,1/9/1993,Blackburn,Arsenal,1,1,D,,,,1993-94
E0,1/9/1993,Coventry,Liverpool,1,0,H,,,,1993-94
E0,1/9/1993,Man United,West Ham,3,0,H,,,,1993-94
E0,1/9/1993,QPR,Sheffield United,2,1,H,,,,1993-94
E0,1/9/1993,Sheffield Weds,Norwich,3,3,D,,,,1993-94
E0,1/9/1993,Swindon,Man City,1,3,A,,,,1993-94
E0,1/9/1993,Tottenham,Chelsea,1,1,D,,,,1993-94
E0,11/9/1993,Arsenal,Ipswich,4,0,H,,,,1993-94
E0,11/9/1993,Aston Villa,Coventry,0,0,D,,,,1993-94
E0,11/9/1993,Chelsea,Man United,1,0,H,,,,1993-94
E0,11/9/1993,Man City,QPR,3,0,H,,,,1993-94
E0,11/9/1993,Norwich,Wimbledon,0,1,A,,,,1993-94
E0,11/9/1993,Oldham,Everton,0,1,A,,,,1993-94
E0,11/9/1993,Sheffield United,Tottenham,2,2,D,,,,1993-94
E0,11/9/1993,Southampton,Leeds,0,2,A,,,,1993-94
E0,11/9/1993,West Ham,Swindon,0,0,D,,,,1993-94
E0,12/9/1993,Liverpool,Blackburn,0,1,A,,,,1993-94
E0,13/09/93,Newcastle,Sheffield Weds,4,2,H,,,,1993-94
E0,18/09/93,Blackburn,West Ham,0,2,A,,,,1993-94
E0,18/09/93,Coventry,Chelsea,1,1,D,,,,1993-94
E0,18/09/93,Everton,Liverpool,2,0,H,,,,1993-94
E0,18/09/93,Ipswich,Aston Villa,1,2,A,,,,1993-94
E0,18/09/93,Leeds,Sheffield United,2,1,H,,,,1993-94
E0,18/09/93,QPR,Norwich,2,2,D,,,,1993-94
E0,18/09/93,Sheffield Weds,Southampton,2,0,H,,,,1993-94
E0,18/09/93,Swindon,Newcastle,2,2,D,,,,1993-94
E0,18/09/93,Tottenham,Oldham,5,0,H,,,,1993-94
E0,19/09/93,Man United,Arsenal,1,0,H,,,,1993-94
E0,20/09/93,Wimbledon,Man City,1,0,H,,,,1993-94
E0,25/09/93,Arsenal,Southampton,1,0,H,,,,1993-94
E0,25/09/93,Blackburn,Sheffield Weds,1,1,D,,,,1993-94
E0,25/09/93,Chelsea,Liverpool,1,0,H,,,,1993-94
E0,25/09/93,Coventry,Leeds,0,2,A,,,,1993-94
E0,25/09/93,Everton,Norwich,1,5,A,,,,1993-94
E0,25/09/93,Man United,Swindon,4,2,H,,,,1993-94
E0,25/09/93,Newcastle,West Ham,2,0,H,,,,1993-94
E0,25/09/93,Oldham,Aston Villa,1,1,D,,,,1993-94
E0,25/09/93,Sheffield United,Man City,0,1,A,,,,1993-94
E0,26/09/93,Ipswich,Tottenham,2,2,D,,,,1993-94
E0,27/09/93,Wimbledon,QPR,1,1,D,,,,1993-94
E0,2/10/1993,Aston Villa,Newcastle,0,2,A,,,,1993-94
E0,2/10/1993,Leeds,Wimbledon,4,0,H,,,,1993-94
E0,2/10/1993,Liverpool,Arsenal,0,0,D,,,,1993-94
E0,2/10/1993,Norwich,Coventry,1,0,H,,,,1993-94
E0,2/10/1993,QPR,Ipswich,3,0,H,,,,1993-94
E0,2/10/1993,Sheffield Weds,Man United,2,3,A,,,,1993-94
E0,2/10/1993,Southampton,Sheffield United,3,3,D,,,,1993-94
E0,2/10/1993,Swindon,Blackburn,1,3,A,,,,1993-94
E0,2/10/1993,West Ham,Chelsea,1,0,H,,,,1993-94
E0,3/10/1993,Tottenham,Everton,3,2,H,,,,1993-94
E0,4/10/1993,Man City,Oldham,1,1,D,,,,1993-94
E0,16/10/93,Arsenal,Man City,0,0,D,,,,1993-94
E0,16/10/93,Chelsea,Norwich,1,2,A,,,,1993-94
E0,16/10/93,Coventry,Southampton,1,1,D,,,,1993-94
E0,16/10/93,Liverpool,Oldham,2,1,H,,,,1993-94
E0,16/10/93,Man United,Tottenham,2,1,H,,,,1993-94
E0,16/10/93,Newcastle,QPR,1,2,A,,,,1993-94
E0,16/10/93,Sheffield Weds,Wimbledon,2,2,D,,,,1993-94
E0,16/10/93,Swindon,Everton,1,1,D,,,,1993-94
E0,16/10/93,West Ham,Aston Villa,0,0,D,,,,1993-94
E0,17/10/93,Ipswich,Leeds,0,0,D,,,,1993-94
E0,18/10/93,Blackburn,Sheffield United,0,0,D,,,,1993-94
E0,23/10/93,Aston Villa,Chelsea,1,0,H,,,,1993-94
E0,23/10/93,Everton,Man United,0,1,A,,,,1993-94
E0,23/10/93,Leeds,Blackburn,3,3,D,,,,1993-94
E0,23/10/93,Man City,Liverpool,1,1,D,,,,1993-94
E0,23/10/93,Norwich,West Ham,0,0,D,,,,1993-94
E0,23/10/93,Oldham,Arsenal,0,0,D,,,,1993-94
E0,23/10/93,QPR,Coventry,5,1,H,,,,1993-94
E0,23/10/93,Sheffield United,Sheffield Weds,1,1,D,,,,1993-94
E0,23/10/93,Tottenham,Swindon,1,1,D,,,,1993-94
E0,24/10/93,Southampton,Newcastle,2,1,H,,,,1993-94
E0,25/10/93,Wimbledon,Ipswich,0,2,A,,,,1993-94
E0,30/10/93,Arsenal,Norwich,0,0,D,,,,1993-94
E0,30/10/93,Blackburn,Tottenham,1,0,H,,,,1993-94
E0,30/10/93,Chelsea,Oldham,0,1,A,,,,1993-94
E0,30/10/93,Ipswich,Everton,0,2,A,,,,1993-94
E0,30/10/93,Liverpool,Southampton,4,2,H,,,,1993-94
E0,30/10/93,Man United,QPR,2,1,H,,,,1993-94
E0,30/10/93,Newcastle,Wimbledon,4,0,H,,,,1993-94
E0,30/10/93,Sheffield Weds,Leeds,3,3,D,,,,1993-94
E0,30/10/93,Swindon,Aston Villa,1,2,A,,,,1993-94
E0,31/10/93,Coventry,Sheffield United,0,0,D,,,,1993-94
E0,1/11/1993,West Ham,Man City,3,1,H,,,,1993-94
E0,6/11/1993,Arsenal,Aston Villa,1,2,A,,,,1993-94
E0,6/11/1993,Coventry,Everton,2,1,H,,,,1993-94
E0,6/11/1993,Ipswich,Sheffield Weds,1,4,A,,,,1993-94
E0,6/11/1993,Leeds,Chelsea,4,1,H,,,,1993-94
E0,6/11/1993,Liverpool,West Ham,2,0,H,,,,1993-94
E0,6/11/1993,QPR,Blackburn,1,0,H,,,,1993-94
E0,6/11/1993,Sheffield United,Norwich,1,2,A,,,,1993-94
E0,6/11/1993,Southampton,Tottenham,1,0,H,,,,1993-94
E0,6/11/1993,Wimbledon,Swindon,3,0,H,,,,1993-94
E0,7/11/1993,Man City,Man United,2,3,A,,,,1993-94
E0,8/11/1993,Oldham,Newcastle,1,3,A,,,,1993-94
E0,20/11/93,Aston Villa,Sheffield United,1,0,H,,,,1993-94
E0,20/11/93,Blackburn,Southampton,2,0,H,,,,1993-94
E0,20/11/93,Chelsea,Arsenal,0,2,A,,,,1993-94
E0,20/11/93,Everton,QPR,0,3,A,,,,1993-94
E0,20/11/93,Man United,Wimbledon,3,1,H,,,,1993-94
E0,20/11/93,Norwich,Man City,1,1,D,,,,1993-94
E0,20/11/93,Sheffield Weds,Coventry,0,0,D,,,,1993-94
E0,20/11/93,Swindon,Ipswich,2,2,D,,,,1993-94
E0,20/11/93,Tottenham,Leeds,1,1,D,,,,1993-94
E0,20/11/93,West Ham,Oldham,2,0,H,,,,1993-94
E0,21/11/93,Newcastle,Liverpool,3,0,H,,,,1993-94
E0,22/11/93,Chelsea,Man City,0,0,D,,,,1993-94
E0,23/11/93,Blackburn,Coventry,2,1,H,,,,1993-94
E0,23/11/93,Everton,Leeds,1,1,D,,,,1993-94
E0,24/11/93,Aston Villa,Southampton,0,2,A,,,,1993-94
E0,24/11/93,Man United,Ipswich,0,0,D,,,,1993-94
E0,24/11/93,Newcastle,Sheffield United,4,0,H,,,,1993-94
E0,24/11/93,Sheffield Weds,Oldham,3,0,H,,,,1993-94
E0,24/11/93,Swindon,QPR,1,0,H,,,,1993-94
E0,24/11/93,Tottenham,Wimbledon,1,1,D,,,,1993-94
E0,24/11/93,West Ham,Arsenal,0,0,D,,,,1993-94
E0,27/11/93,Arsenal,Newcastle,2,1,H,,,,1993-94
E0,27/11/93,Coventry,Man United,0,1,A,,,,1993-94
E0,27/11/93,Ipswich,Blackburn,1,0,H,,,,1993-94
E0,27/11/93,Leeds,Swindon,3,0,H,,,,1993-94
E0,27/11/93,Man City,Sheffield Weds,1,3,A,,,,1993-94
E0,27/11/93,Oldham,Norwich,2,1,H,,,,1993-94
E0,27/11/93,QPR,Tottenham,1,1,D,,,,1993-94
E0,27/11/93,Sheffield United,Chelsea,1,0,H,,,,1993-94
E0,27/11/93,Wimbledon,Everton,1,1,D,,,,1993-94
E0,28/11/93,Liverpool,Aston Villa,2,1,H,,,,1993-94
E0,29/11/93,Southampton,West Ham,0,2,A,,,,1993-94
E0,4/12/1993,Coventry,Arsenal,1,0,H,,,,1993-94
E0,4/12/1993,Everton,Southampton,1,0,H,,,,1993-94
E0,4/12/1993,Ipswich,Oldham,0,0,D,,,,1993-94
E0,4/12/1993,Leeds,Man City,3,2,H,,,,1993-94
E0,4/12/1993,Man United,Norwich,2,2,D,,,,1993-94
E0,4/12/1993,QPR,Aston Villa,2,2,D,,,,1993-94
E0,4/12/1993,Sheffield Weds,Liverpool,3,1,H,,,,1993-94
E0,4/12/1993,Swindon,Sheffield United,0,0,D,,,,1993-94
E0,4/12/1993,Tottenham,Newcastle,1,2,A,,,,1993-94
E0,4/12/1993,Wimbledon,West Ham,1,2,A,,,,1993-94
E0,5/12/1993,Blackburn,Chelsea,2,0,H,,,,1993-94
E0,6/12/1993,Arsenal,Tottenham,1,1,D,,,,1993-94
E0,7/12/1993,Oldham,Swindon,2,1,H,,,,1993-94
E0,7/12/1993,Sheffield United,Man United,0,3,A,,,,1993-94
E0,8/12/1993,Aston Villa,Sheffield Weds,2,2,D,,,,1993-94
E0,8/12/1993,Liverpool,QPR,3,2,H,,,,1993-94
E0,8/12/1993,Man City,Everton,1,0,H,,,,1993-94
E0,8/12/1993,Southampton,Ipswich,0,1,A,,,,1993-94
E0,8/12/1993,West Ham,Leeds,0,1,A,,,,1993-94
E0,11/12/1993,Aston Villa,Wimbledon,0,1,A,,,,1993-94
E0,11/12/1993,Chelsea,Ipswich,1,1,D,,,,1993-94
E0,11/12/1993,Liverpool,Swindon,2,2,D,,,,1993-94
E0,11/12/1993,Man City,Tottenham,0,2,A,,,,1993-94
E0,11/12/1993,Newcastle,Man United,1,1,D,,,,1993-94
E0,11/12/1993,Oldham,Blackburn,1,2,A,,,,1993-94
E0,11/12/1993,Sheffield United,Everton,0,0,D,,,,1993-94
E0,11/12/1993,Southampton,QPR,0,1,A,,,,1993-94
E0,11/12/1993,West Ham,Coventry,3,2,H,,,,1993-94
E0,12/12/1993,Arsenal,Sheffield Weds,1,0,H,,,,1993-94
E0,13/12/93,Norwich,Leeds,2,1,H,,,,1993-94
E0,18/12/93,Blackburn,Man City,2,0,H,,,,1993-94
E0,18/12/93,Coventry,Oldham,1,1,D,,,,1993-94
E0,18/12/93,Everton,Newcastle,0,2,A,,,,1993-94
E0,18/12/93,Ipswich,Norwich,2,1,H,,,,1993-94
E0,18/12/93,Leeds,Arsenal,2,1,H,,,,1993-94
E0,18/12/93,Sheffield Weds,West Ham,5,0,H,,,,1993-94
E0,18/12/93,Swindon,Southampton,2,1,H,,,,1993-94
E0,18/12/93,Tottenham,Liverpool,3,3,D,,,,1993-94
E0,18/12/93,Wimbledon,Sheffield United,2,0,H,,,,1993-94
E0,19/12/93,Man United,Aston Villa,3,1,H,,,,1993-94
E0,22/12/93,Newcastle,Leeds,1,1,D,,,,1993-94
E0,26/12/93,Man United,Blackburn,1,1,D,,,,1993-94
E0,26/12/93,Sheffield United,Liverpool,0,0,D,,,,1993-94
E0,26/12/93,Wimbledon,Coventry,1,2,A,,,,1993-94
E0,27/12/93,Everton,Sheffield Weds,0,2,A,,,,1993-94
E0,27/12/93,Ipswich,West Ham,1,1,D,,,,1993-94
E0,27/12/93,QPR,Oldham,2,0,H,,,,1993-94
E0,27/12/93,Southampton,Chelsea,3,1,H,,,,1993-94
E0,27/12/93,Swindon,Arsenal,0,4,A,,,,1993-94
E0,27/12/93,Tottenham,Norwich,1,3,A,,,,1993-94
E0,28/12/93,Chelsea,Newcastle,1,0,H,,,,1993-94
E0,28/12/93,Liverpool,Wimbledon,1,1,D,,,,1993-94
E0,28/12/93,Man City,Southampton,1,1,D,,,,1993-94
E0,28/12/93,West Ham,Tottenham,1,3,A,,,,1993-94
E0,29/12/93,Arsenal,Sheffield United,3,0,H,,,,1993-94
E0,29/12/93,Blackburn,Everton,2,0,H,,,,1993-94
E0,29/12/93,Leeds,QPR,1,1,D,,,,1993-94
E0,29/12/93,Norwich,Aston Villa,1,2,A,,,,1993-94
E0,29/12/93,Oldham,Man United,2,5,A,,,,1993-94
E0,29/12/93,Sheffield Weds,Swindon,3,3,D,,,,1993-94
E0,1/1/1994,Aston Villa,Blackburn,0,1,A,,,,1993-94
E0,1/1/1994,Everton,West Ham,0,1,A,,,,1993-94
E0,1/1/1994,Ipswich,Liverpool,1,2,A,,,,1993-94
E0,1/1/1994,Man United,Leeds,0,0,D,,,,1993-94
E0,1/1/1994,Newcastle,Man City,2,0,H,,,,1993-94
E0,1/1/1994,QPR,Sheffield Weds,1,2,A,,,,1993-94
E0,1/1/1994,Sheffield United,Oldham,2,1,H,,,,1993-94
E0,1/1/1994,Southampton,Norwich,0,1,A,,,,1993-94
E0,1/1/1994,Swindon,Chelsea,1,3,A,,,,1993-94
E0,1/1/1994,Tottenham,Coventry,1,2,A,,,,1993-94
E0,1/1/1994,Wimbledon,Arsenal,0,3,A,,,,1993-94
E0,3/1/1994,Arsenal,QPR,0,0,D,,,,1993-94
E0,3/1/1994,Chelsea,Everton,4,2,H,,,,1993-94
E0,3/1/1994,Coventry,Swindon,1,1,D,,,,1993-94
E0,3/1/1994,Sheffield Weds,Tottenham,1,0,H,,,,1993-94
E0,3/1/1994,West Ham,Sheffield United,0,0,D,,,,1993-94
E0,4/1/1994,Liverpool,Man United,3,3,D,,,,1993-94
E0,4/1/1994,Norwich,Newcastle,1,2,A,,,,1993-94
E0,15/01/94,Aston Villa,West Ham,3,1,H,,,,1993-94
E0,15/01/94,Everton,Swindon,6,2,H,,,,1993-94
E0,15/01/94,Leeds,Ipswich,0,0,D,,,,1993-94
E0,15/01/94,Man City,Arsenal,0,0,D,,,,1993-94
E0,15/01/94,Norwich,Chelsea,1,1,D,,,,1993-94
E0,15/01/94,Oldham,Liverpool,0,3,A,,,,1993-94
E0,15/01/94,Sheffield United,Blackburn,1,2,A,,,,1993-94
E0,15/01/94,Southampton,Coventry,1,0,H,,,,1993-94
E0,15/01/94,Tottenham,Man United,0,1,A,,,,1993-94
E0,15/01/94,Wimbledon,Sheffield Weds,2,1,H,,,,1993-94
E0,16/01/94,QPR,Newcastle,1,2,A,,,,1993-94
E0,22/01/94,Arsenal,Oldham,1,1,D,,,,1993-94
E0,22/01/94,Chelsea,Aston Villa,1,1,D,,,,1993-94
E0,22/01/94,Coventry,QPR,0,1,A,,,,1993-94
E0,22/01/94,Ipswich,Wimbledon,0,0,D,,,,1993-94
E0,22/01/94,Liverpool,Man City,2,1,H,,,,1993-94
E0,22/01/94,Man United,Everton,1,0,H,,,,1993-94
E0,22/01/94,Newcastle,Southampton,1,2,A,,,,1993-94
E0,22/01/94,Sheffield Weds,Sheffield United,3,1,H,,,,1993-94
E0,22/01/94,Swindon,Tottenham,2,1,H,,,,1993-94
E0,23/01/94,Blackburn,Leeds,2,1,H,,,,1993-94
E0,24/01/94,West Ham,Norwich,3,3,D,,,,1993-94
E0,2/2/1994,Coventry,Ipswich,1,0,H,,,,1993-94
E0,5/2/1994,Blackburn,Wimbledon,3,0,H,,,,1993-94
E0,5/2/1994,Everton,Chelsea,4,2,H,,,,1993-94
E0,5/2/1994,Man City,Ipswich,2,1,H,,,,1993-94
E0,5/2/1994,Norwich,Liverpool,2,2,D,,,,1993-94
E0,5/2/1994,Oldham,Southampton,2,1,H,,,,1993-94
E0,5/2/1994,QPR,Man United,2,3,A,,,,1993-94
E0,5/2/1994,Swindon,Coventry,3,1,H,,,,1993-94
E0,5/2/1994,Tottenham,Sheffield Weds,1,3,A,,,,1993-94
E0,6/2/1994,Aston Villa,Leeds,1,0,H,,,,1993-94
E0,12/2/1994,Aston Villa,Swindon,5,0,H,,,,1993-94
E0,12/2/1994,Everton,Ipswich,0,0,D,,,,1993-94
E0,12/2/1994,Man City,West Ham,0,0,D,,,,1993-94
E0,12/2/1994,Oldham,Chelsea,2,1,H,,,,1993-94
E0,12/2/1994,Sheffield United,Coventry,0,0,D,,,,1993-94
E0,12/2/1994,Tottenham,Blackburn,0,2,A,,,,1993-94
E0,12/2/1994,Wimbledon,Newcastle,4,2,H,,,,1993-94
E0,13/02/94,Norwich,Arsenal,1,1,D,,,,1993-94
E0,14/02/94,Southampton,Liverpool,4,2,H,,,,1993-94
E0,19/02/94,Blackburn,Newcastle,1,0,H,,,,1993-94
E0,19/02/94,Coventry,Man City,4,0,H,,,,1993-94
E0,19/02/94,Everton,Arsenal,1,1,D,,,,1993-94
E0,19/02/94,Leeds,Liverpool,2,0,H,,,,1993-94
E0,19/02/94,Swindon,Norwich,3,3,D,,,,1993-94
E0,22/02/94,Aston Villa,Man City,0,0,D,,,,1993-94
E0,22/02/94,Norwich,Blackburn,2,2,D,,,,1993-94
E0,23/02/94,Newcastle,Coventry,4,0,H,,,,1993-94
E0,26/02/94,Arsenal,Blackburn,1,0,H,,,,1993-94
E0,26/02/94,Ipswich,Sheffield United,3,2,H,,,,1993-94
E0,26/02/94,Liverpool,Coventry,1,0,H,,,,1993-94
E0,26/02/94,Man City,Swindon,2,1,H,,,,1993-94
E0,26/02/94,Norwich,Sheffield Weds,1,1,D,,,,1993-94
E0,26/02/94,Southampton,Wimbledon,1,0,H,,,,1993-94
E0,26/02/94,West Ham,Man United,2,2,D,,,,1993-94
E0,27/02/94,Chelsea,Tottenham,4,3,H,,,,1993-94
E0,28/02/94,Oldham,Leeds,1,1,D,,,,1993-94
E0,2/3/1994,Tottenham,Aston Villa,1,1,D,,,,1993-94
E0,5/3/1994,Blackburn,Liverpool,2,0,H,,,,1993-94
E0,5/3/1994,Everton,Oldham,2,1,H,,,,1993-94
E0,5/3/1994,Ipswich,Arsenal,1,5,A,,,,1993-94
E0,5/3/1994,Leeds,Southampton,0,0,D,,,,1993-94
E0,5/3/1994,Man United,Chelsea,0,1,A,,,,1993-94
E0,5/3/1994,QPR,Man City,1,1,D,,,,1993-94
E0,5/3/1994,Sheffield Weds,Newcastle,0,1,A,,,,1993-94
E0,5/3/1994,Swindon,West Ham,1,1,D,,,,1993-94
E0,5/3/1994,Tottenham,Sheffield United,2,2,D,,,,1993-94
E0,5/3/1994,Wimbledon,Norwich,3,1,H,,,,1993-94
E0,6/3/1994,Coventry,Aston Villa,0,1,A,,,,1993-94
E0,12/3/1994,Aston Villa,Ipswich,0,1,A,,,,1993-94
E0,12/3/1994,Man City,Wimbledon,0,1,A,,,,1993-94
E0,12/3/1994,Newcastle,Swindon,7,1,H,,,,1993-94
E0,12/3/1994,Norwich,QPR,3,4,A,,,,1993-94
E0,12/3/1994,Southampton,Sheffield Weds,1,1,D,,,,1993-94
E0,13/03/94,Liverpool,Everton,2,1,H,,,,1993-94
E0,13/03/94,Sheffield United,Leeds,2,2,D,,,,1993-94
E0,16/03/94,Chelsea,Wimbledon,2,0,H,,,,1993-94
E0,16/03/94,Leeds,Aston Villa,2,0,H,,,,1993-94
E0,16/03/94,Man United,Sheffield Weds,5,0,H,,,,1993-94
E0,16/03/94,Sheffield United,QPR,1,1,D,,,,1993-94
E0,19/03/94,Aston Villa,Oldham,1,2,A,,,,1993-94
E0,19/03/94,Leeds,Coventry,1,0,H,,,,1993-94
E0,19/03/94,Liverpool,Chelsea,2,1,H,,,,1993-94
E0,19/03/94,Man City,Sheffield United,0,0,D,,,,1993-94
E0,19/03/94,QPR,Wimbledon,1,0,H,,,,1993-94
E0,19/03/94,Southampton,Arsenal,0,4,A,,,,1993-94
E0,19/03/94,Swindon,Man United,2,2,D,,,,1993-94
E0,19/03/94,Tottenham,Ipswich,1,1,D,,,,1993-94
E0,19/03/94,West Ham,Newcastle,2,4,A,,,,1993-94
E0,20/03/94,Sheffield Weds,Blackburn,1,2,A,,,,1993-94
E0,21/03/94,Norwich,Everton,3,0,H,,,,1993-94
E0,22/03/94,Arsenal,Man United,2,2,D,,,,1993-94
E0,22/03/94,Newcastle,Ipswich,2,0,H,,,,1993-94
E0,26/03/94,Arsenal,Liverpool,1,0,H,,,,1993-94
E0,26/03/94,Blackburn,Swindon,3,1,H,,,,1993-94
E0,26/03/94,Chelsea,West Ham,2,0,H,,,,1993-94
E0,26/03/94,Coventry,Norwich,2,1,H,,,,1993-94
E0,26/03/94,Everton,Tottenham,0,1,A,,,,1993-94
E0,26/03/94,Ipswich,QPR,1,3,A,,,,1993-94
E0,26/03/94,Oldham,Man City,0,0,D,,,,1993-94
E0,26/03/94,Sheffield United,Southampton,0,0,D,,,,1993-94
E0,27/03/94,Wimbledon,Leeds,1,0,H,,,,1993-94
E0,28/03/94,Sheffield United,West Ham,3,2,H,,,,1993-94
E0,29/03/94,Ipswich,Man City,2,2,D,,,,1993-94
E0,29/03/94,Newcastle,Norwich,3,0,H,,,,1993-94
E0,29/03/94,Wimbledon,Blackburn,4,1,H,,,,1993-94
E0,30/03/94,Aston Villa,Everton,0,0,D,,,,1993-94
E0,30/03/94,Man United,Liverpool,1,0,H,,,,1993-94
E0,30/03/94,Sheffield Weds,Chelsea,3,1,H,,,,1993-94
E0,30/03/94,Southampton,Oldham,1,3,A,,,,1993-94
E0,1/4/1994,Leeds,Newcastle,1,1,D,,,,1993-94
E0,2/4/1994,Arsenal,Swindon,1,1,D,,,,1993-94
E0,2/4/1994,Blackburn,Man United,2,0,H,,,,1993-94
E0,2/4/1994,Chelsea,Southampton,2,0,H,,,,1993-94
E0,2/4/1994,Coventry,Wimbledon,1,2,A,,,,1993-94
E0,2/4/1994,Liverpool,Sheffield United,1,2,A,,,,1993-94
E0,2/4/1994,Man City,Aston Villa,3,0,H,,,,1993-94
E0,2/4/1994,Norwich,Tottenham,1,2,A,,,,1993-94
E0,2/4/1994,Oldham,QPR,4,1,H,,,,1993-94
E0,2/4/1994,Sheffield Weds,Everton,5,1,H,,,,1993-94
E0,2/4/1994,West Ham,Ipswich,2,1,H,,,,1993-94
E0,4/4/1994,Aston Villa,Norwich,0,0,D,,,,1993-94
E0,4/4/1994,Everton,Blackburn,0,3,A,,,,1993-94
E0,4/4/1994,Ipswich,Coventry,0,2,A,,,,1993-94
E0,4/4/1994,Man United,Oldham,3,2,H,,,,1993-94
E0,4/4/1994,Newcastle,Chelsea,0,0,D,,,,1993-94
E0,4/4/1994,QPR,Leeds,0,4,A,,,,1993-94
E0,4/4/1994,Sheffield United,Arsenal,1,1,D,,,,1993-94
E0,4/4/1994,Southampton,Man City,0,1,A,,,,1993-94
E0,4/4/1994,Swindon,Sheffield Weds,0,1,A,,,,1993-94
E0,4/4/1994,Tottenham,West Ham,1,4,A,,,,1993-94
E0,4/4/1994,Wimbledon,Liverpool,1,1,D,,,,1993-94
E0,9/4/1994,Coventry,Tottenham,1,0,H,,,,1993-94
E0,9/4/1994,Liverpool,Ipswich,1,0,H,,,,1993-94
E0,9/4/1994,Man City,Newcastle,2,1,H,,,,1993-94
E0,9/4/1994,Norwich,Southampton,4,5,A,,,,1993-94
E0,9/4/1994,Sheffield Weds,QPR,3,1,H,,,,1993-94
E0,9/4/1994,West Ham,Everton,0,1,A,,,,1993-94
